date,url,page_type,primary_keyword,secondary_keywords,baidu_index_status,google_index_status,bing_index_status,baidu_rank,google_rank,bing_rank,clicks,conversion_entry,submission_status,technical_check,baidu_console_check,bing_console_check,next_action,notes
2026-06-20,https://aijianli.cn/articles/ai-product-manager-resume-guide,article,AI产品经理简历怎么写,"AI产品经理简历模板; 大模型产品经理简历; AIGC产品经理简历; AI产品经理项目经历",百度收录待后台确认,通用搜索已发现,Bing 待复查,待查,待查,待查,待导入,文章内模板入口与 AI 简历生成入口,百度普通收录成功；IndexNow 成功且覆盖 Bing,200 OK；canonical 独立；index follow；无 noindex；sitemap 已包含,待登录百度搜索资源平台确认 sitemap 抓取/API 成功/7日抓取频次/异常,待登录 Bing Webmaster Tools 确认 sitemap 状态/IndexNow Insights/URL Inspection,24-72 小时后复查百度/Bing/Google site 查询与后台收录,首批 AI 产品经理内容集群核心文章
2026-06-20,https://aijianli.cn/templates/ai产品经理,template,AI产品经理简历模板,"AI产品经理简历怎么写; AI产品经理简历; AI产品经理岗位关键词",待收录确认,待收录确认,Bing 待复查,待查,待查,待查,待导入,模板页创建简历入口与相关文章入口,百度普通收录成功；IndexNow 成功且覆盖 Bing,200 OK；canonical 独立；index follow；无 noindex；sitemap 已包含,待登录百度搜索资源平台确认 sitemap 抓取/API 成功/7日抓取频次/异常,待登录 Bing Webmaster Tools 确认 sitemap 状态/IndexNow Insights/URL Inspection,24-72 小时后复查百度/Bing/Google site 查询与后台收录,重点核心词页面
2026-06-20,https://aijianli.cn/templates/大模型产品经理,template,大模型产品经理简历模板,"大模型产品经理简历; AI产品经理简历模板; RAG 产品经理简历",待收录确认,待收录确认,Bing 待复查,待查,待查,待查,待导入,模板页创建简历入口,百度普通收录成功；IndexNow 成功且覆盖 Bing,200 OK；canonical 独立；index follow；无 noindex；sitemap 已包含,待登录百度搜索资源平台确认 sitemap 抓取/API 成功/7日抓取频次/异常,待登录 Bing Webmaster Tools 确认 sitemap 状态/IndexNow Insights/URL Inspection,24-72 小时后复查百度/Bing/Google site 查询与后台收录,AI 产品经理相关长尾页
2026-06-20,https://aijianli.cn/templates/aigc产品经理,template,AIGC产品经理简历模板,"AIGC产品经理简历; AIGC 产品经理岗位关键词; AI产品经理简历模板",待收录确认,待收录确认,Bing 待复查,待查,待查,待查,待导入,模板页创建简历入口,百度普通收录成功；IndexNow 成功且覆盖 Bing,200 OK；canonical 独立；index follow；无 noindex；sitemap 已包含,待登录百度搜索资源平台确认 sitemap 抓取/API 成功/7日抓取频次/异常,待登录 Bing Webmaster Tools 确认 sitemap 状态/IndexNow Insights/URL Inspection,24-72 小时后复查百度/Bing/Google site 查询与后台收录,AI 产品经理相关长尾页
2026-06-21,https://aijianli.cn/compare/ai-resume-builders,aeo,AI简历工具哪个好,"AI简历生成器推荐; 中文AI简历工具; 简历工具对比",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,AI生成入口与模板入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,AEO 对比页核心入口
2026-06-21,https://aijianli.cn/tools/resume-builder-sites,aeo,简历制作网站推荐,"简历网站合集; 在线简历制作; 免费简历制作网站",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,AI生成入口与简历模板入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,工具合集 AEO 入口
2026-06-21,https://aijianli.cn/answers/free-ai-resume-builder,aeo,免费AI简历工具,"免费简历生成器; AI写简历免费; 无水印简历导出",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,AI生成入口与免费模板入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,免费工具答案页
2026-06-21,https://aijianli.cn/answers/best-ai-resume-tool,aeo,AI简历生成器怎么选,"AI简历工具对比; JD匹配简历; 简历优化工具",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,AI生成入口与 JD 匹配入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,选择指南答案页
2026-06-21,https://aijianli.cn/examples,example_index,AI新职业简历范文,"AI产品经理简历范文; AIGC运营简历范文; RAG工程师简历范文",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,范文页到模板页和 AI 生成入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,AI 新职业范文库入口
2026-06-21,https://aijianli.cn/tools/jd-resume-match,tool,JD匹配简历优化工具,"ATS关键词检查; 简历匹配度分析; 岗位关键词提取",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,JD 分析工具到 AI 生成和模板入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,高转化工具页
2026-06-21,https://aijianli.cn/examples/ai-product-manager-resume-example,example,AI产品经理简历范文,"RAG; AI Agent; 模型评测; AI产品经理项目经历",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,范文到 AI 产品经理模板和 AI 生成入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/FAQ JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,首批 AI 新职业范文
2026-06-21,https://aijianli.cn/examples/aigc-operations-resume-example,example,AIGC运营简历范文,"Prompt模板; 内容运营; AIGC工具",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,范文到 AIGC 运营模板和 AI 生成入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/FAQ JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,首批 AI 新职业范文
2026-06-21,https://aijianli.cn/examples/prompt-engineer-resume-example,example,提示词工程师简历范文,"Prompt Engineer; 提示词工程; Prompt评测",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,范文到提示词工程师模板和 AI 生成入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/FAQ JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,首批 AI 新职业范文
2026-06-21,https://aijianli.cn/examples/rag-engineer-resume-example,example,RAG工程师简历范文,"向量数据库; 知识库问答; 大模型应用",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,范文到 RAG 工程师模板和 AI 生成入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/FAQ JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,首批 AI 新职业范文
2026-06-21,https://aijianli.cn/examples/large-model-product-manager-resume-example,example,大模型产品经理简历范文,"模型评测; 企业大模型; 大模型应用",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,范文到大模型产品经理模板和 AI 生成入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/FAQ JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,首批 AI 新职业范文
2026-06-21,https://aijianli.cn/examples/aigc-product-manager-resume-example,example,AIGC产品经理简历范文,"AIGC产品; 内容生成; 审核流",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,范文到 AIGC 产品经理模板和 AI 生成入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/FAQ JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,首批 AI 新职业范文
2026-06-21,https://aijianli.cn/examples/ai-agent-engineer-resume-example,example,AI Agent工程师简历范文,"AI Agent; 工具调用; 工作流自动化",待上线提交,待上线提交,待上线提交,待查,待查,待查,待导入,范文到 AI Agent 工程师模板和 AI 生成入口,待上线后百度普通收录和 IndexNow 提交,待构建验证 canonical/index follow/FAQ JSON-LD/sitemap,待后台确认,待 Bing Webmaster Tools 确认,上线后提交并 24-72 小时复查,首批 AI 新职业范文
